"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20240601","9호선2~3단계","석촌고분","5761","5394","20240604",""
"20240601","9호선2~3단계","삼전","6129","5430","20240604",""
"20240601","9호선2~3단계","종합운동장","4555","4246","20240604",""
"20240601","9호선2~3단계","봉은사","16575","17492","20240604",""
"20240601","9호선2~3단계","삼성중앙","3793","3706","20240604",""
"20240601","9호선2~3단계","선정릉","5653","6403","20240604",""
"20240601","9호선2~3단계","언주","7840","7953","20240604",""
"20240601","9호선","신논현","29069","29957","20240604",""
"20240601","9호선","사평","3262","2875","20240604",""
"20240601","9호선","고속터미널","19287","27999","20240604",""
"20240601","9호선","신반포","3865","4018","20240604",""
"20240601","9호선","구반포","979","994","20240604",""
"20240601","9호선","동작(현충원)","3187","3179","20240604",""
"20240601","9호선","흑석(중앙대입구)","7244","6981","20240604",""
"20240601","9호선","노들","5018","4381","20240604",""
"20240601","9호선","노량진","23759","23568","20240604",""
"20240601","9호선","샛강","3973","3833","20240604",""
"20240601","9호선","여의도","18515","18225","20240604",""
"20240601","9호선","국회의사당","6654","6953","20240604",""
"20240601","9호선","당산","15964","15396","20240604",""
"20240601","9호선","선유도","5630","5214","20240604",""
"20240601","9호선","신목동","3007","2521","20240604",""
"20240601","9호선","염창","14354","13173","20240604",""
"20240601","9호선","등촌","8870","8385","20240604",""
"20240601","9호선","증미","4231","3842","20240604",""
"20240601","9호선","가양","17455","16632","20240604",""
"20240601","9호선","양천향교","7090","6433","20240604",""
"20240601","9호선","마곡나루(서울식물원)","10992","10788","20240604",""
"20240601","9호선","신방화","5640","5204","20240604",""
"20240601","9호선","공항시장","2576","2567","20240604",""
"20240601","9호선","김포공항","7145","10482","20240604",""
"20240601","9호선","개화","1770","1498","20240604",""
"20240601","8호선","남위례","5724","5804","20240604",""
"20240601","8호선","모란","4384","3850","20240604",""
"20240601","8호선","수진","4873","4224","20240604",""
"20240601","8호선","신흥","4551","4563","20240604",""
"20240601","8호선","단대오거리","9596","8864","20240604",""
"20240601","8호선","남한산성입구(성남법원.검찰청)","10398","8954","20240604",""
"20240601","8호선","산성","5460","5496","20240604",""
"20240601","8호선","복정","7053","5862","20240604",""
"20240601","8호선","장지","13506","12016","20240604",""
"20240601","8호선","문정","11063","11230","20240604",""
"20240601","8호선","가락시장","6339","6591","20240604",""
"20240601","8호선","송파","7424","6824","20240604",""
"20240601","8호선","석촌","6893","8910","20240604",""
"20240601","8호선","잠실(송파구청)","15946","18509","20240604",""
"20240601","8호선","몽촌토성(평화의문)","6032","6193","20240604",""
